Date,LAUS_UnemploymentRate
1/1/2007,4.90
2/1/2007,4.60
3/1/2007,4.20
4/1/2007,3.90
5/1/2007,4.40
6/1/2007,4.60
7/1/2007,4.90
8/1/2007,4.70
9/1/2007,4.30
10/1/2007,4.00
11/1/2007,4.10
12/1/2007,4.90
1/1/2008,5.60
2/1/2008,5.40
3/1/2008,4.90
4/1/2008,4.90
5/1/2008,5.30
6/1/2008,5.70
7/1/2008,5.70
8/1/2008,5.80
9/1/2008,5.40
10/1/2008,5.70
11/1/2008,5.80
12/1/2008,6.50
1/1/2009,9.80
2/1/2009,10.00
3/1/2009,9.50
4/1/2009,9.20
5/1/2009,9.70
6/1/2009,9.80
7/1/2009,9.50
8/1/2009,9.10
9/1/2009,9.30
10/1/2009,8.70
11/1/2009,8.60
12/1/2009,9.00
1/1/2010,11.70
2/1/2010,11.70
3/1/2010,11.30
4/1/2010,10.60
5/1/2010,10.70
6/1/2010,10.70
7/1/2010,11.00
8/1/2010,11.00
9/1/2010,10.30
10/1/2010,10.50
11/1/2010,10.80
12/1/2010,10.00
1/1/2011,11.30
2/1/2011,10.30
3/1/2011,9.70
4/1/2011,9.50
5/1/2011,10.10
6/1/2011,10.80
7/1/2011,11.30
8/1/2011,10.80
9/1/2011,10.40
10/1/2011,10.00
11/1/2011,9.60
12/1/2011,9.10
1/1/2012,9.80
2/1/2012,9.50
3/1/2012,9.20
4/1/2012,8.90
5/1/2012,9.60
6/1/2012,10.00
7/1/2012,9.90
8/1/2012,10.50
9/1/2012,9.70
10/1/2012,10.30
11/1/2012,9.30
12/1/2012,9.10
1/1/2013,10.40
2/1/2013,9.70
3/1/2013,9.30
4/1/2013,8.70
5/1/2013,9.20
6/1/2013,9.40
7/1/2013,9.60
8/1/2013,8.90
9/1/2013,8.50
10/1/2013,8.50
11/1/2013,7.40
12/1/2013,6.80
1/1/2014,7.80
2/1/2014,7.90
3/1/2014,8.40
4/1/2014,8.60
5/1/2014,9.00
6/1/2014,9.00
7/1/2014,9.20
8/1/2014,8.30
9/1/2014,7.40
10/1/2014,6.60
11/1/2014,6.30
12/1/2014,5.70
1/1/2015,7.80
2/1/2015,7.50
3/1/2015,7.50
4/1/2015,6.80
5/1/2015,7.90
6/1/2015,7.50
7/1/2015,7.80
8/1/2015,7.00
9/1/2015,6.50
10/1/2015,6.70
11/1/2015,6.40
12/1/2015,6.10
1/1/2016,7.10
2/1/2016,6.70
3/1/2016,7.00
4/1/2016,6.40
5/1/2016,6.50
6/1/2016,6.50
7/1/2016,7.20
8/1/2016,6.80
9/1/2016,6.50
10/1/2016,6.30
11/1/2016,5.80
12/1/2016,5.40
1/1/2017,5.70
2/1/2017,6.30
3/1/2017,6.30
4/1/2017,5.80
5/1/2017,6.30
6/1/2017,6.00
7/1/2017,6.50
8/1/2017,6.10
9/1/2017,5.20
10/1/2017,5.00
11/1/2017,5.50
